Seat Name;County;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Poole;Dorset;10;2758;1483;1026;2986;1026;000;000;721;Reform
Poplar and Limehouse;Tower Hamlets;11;1058;2092;757;1186;3651;000;920;335;Green
Portsmouth North;Hampshire;12;2749;1505;728;3303;1051;000;000;664;Reform
Portsmouth South;Hampshire;12;1284;2200;1026;2205;2364;000;000;922;Green
Preston;Lancashire;4;1175;1920;644;2264;2186;000;1563;247;Reform
Putney;Wandsworth;11;1867;2931;1146;936;2425;000;415;280;LAB
Queen's Park and Maida Vale;City of Westminster;11;1011;2728;618;1479;3195;000;725;243;Green
Rawmarsh and Conisbrough;South Yorkshire;5;1046;2406;453;3860;1461;000;774;000;Reform
Rayleigh and Wickford;Essex;9;2710;1071;887;4050;762;000;000;519;Reform
Reading Central;Berkshire;12;1525;2526;815;1419;3007;000;000;709;Green
Reading West and Mid Berkshire;Berkshire;12;2836;1841;1008;2250;1312;000;000;753;CON
Redcar;Teesside;3;2387;2042;506;3421;1075;000;000;569;Reform
Redditch;Hereford and Worcestershire;7;2566;1669;536;3388;995;000;847;000;Reform
Reigate;Surrey;12;2546;1646;1201;2559;1482;000;000;566;Reform
Ribble Valley;Lancashire;4;2863;2061;862;2503;1044;000;000;668;CON
Richmond and Northallerton;North Yorkshire;5;3276;1468;1014;2718;919;000;051;554;CON
Richmond Park;Richmond upon Thames;11;1892;922;3970;904;1758;000;000;554;LIB
Rochdale;Eastern Manchester;4;1019;1993;617;2298;2042;000;2030;000;Reform
Rochester and Strood;Kent;12;2080;1560;793;3576;1393;000;337;261;Reform
Romford;Havering;11;2721;1531;687;3187;1032;000;691;150;Reform
Romsey and Southampton North;Hampshire;12;3046;719;2587;2201;898;000;000;549;CON
Rossendale and Darwen;Lancashire;4;1930;2095;685;3124;1637;000;529;000;Reform
Rother Valley;South Yorkshire;5;2516;1992;576;3344;1075;000;000;497;Reform
Rotherham;South Yorkshire;5;510;2170;608;3612;1880;000;577;643;Reform
Rugby;Warwickshire;7;2688;1990;710;2662;1159;000;000;791;CON
Ruislip, Northwood and Pinner;Hillingdon;11;3644;1790;1125;1536;1186;000;000;719;CON
Runcorn and Helsby;Cheshire;4;1257;2872;597;2725;1800;000;000;748;LAB
Runnymede and Weybridge;Surrey;12;2876;1186;1745;2561;991;000;000;641;CON
Rushcliffe;Nottinghamshire;8;2609;2745;700;1757;1688;000;000;501;LAB
Rutland and Stamford;Leicestershire;8;3261;1331;1245;2689;1041;000;000;435;CON
Salford;Central Manchester;4;847;2584;513;2253;3083;000;560;161;Green
Salisbury;Wiltshire;10;2876;1619;1715;2044;1016;000;000;730;CON
Scarborough and Whitby;North Yorkshire;5;1964;2100;857;3176;1355;000;000;548;Reform
Scunthorpe;Humber area;5;2053;1962;654;3250;1407;000;000;674;Reform
Sefton Central;Merseyside;4;1401;3420;658;2353;1586;000;000;582;LAB
Selby;North Yorkshire;5;1998;2672;659;2609;1447;000;000;615;LAB
Sevenoaks;Kent;12;2811;898;1986;2737;839;000;000;729;CON
Sheffield Brightside and Hillsborough;South Yorkshire;5;862;2485;449;1851;3113;000;649;591;Green
Sheffield Central;South Yorkshire;5;435;2186;377;746;5681;000;155;420;Green
Sheffield Hallam;South Yorkshire;5;1068;2876;2124;812;2684;000;091;345;LAB
Sheffield Heeley;South Yorkshire;5;1009;2717;769;1577;3167;000;207;554;Green
Sheffield South East;South Yorkshire;5;1382;2542;804;2013;2233;000;352;673;LAB
Sherwood Forest;Nottinghamshire;8;1994;1936;816;3289;1459;000;000;507;Reform
Shipley;West Yorkshire;5;1874;2527;784;2185;2115;000;111;404;LAB
Shrewsbury;Shropshire;7;1915;2236;1373;2195;1533;000;000;748;LAB
